/location/country/form of government	form of government
/fictional universe/person in fiction/representations in fiction	representations in fiction
/base/crime/convicted criminal/convictions./base/crime/criminal conviction/guilty of	guilty of
/ice hockey/hockey player/current team./sports/sports team roster/team	team
/theater/play/country of origin	country of origin
/biology/organism classification/higher classification	higher classification
/cvg/computer videogame/developer	developer
/food/dietary restriction/incompatible ingredients	incompatible ingredients
/base/bioventurist/science or technology company/develops treatments for disease	develops treatments for disease
/base/endorsements/endorsing newspaper/endorsements./base/endorsements/newspaper endorsement/election	election
/visual art/visual art form/artworks	artworks
/metropolitan transit/transit line/service type	service type
/sports/pro athlete/teams./ice hockey/hockey roster position/team	team
/transportation/bridge/bridge type	bridge type
/tennis/tennis tournament champion/tennis titles./tennis/tennis tournament championship/winner	winner
/media common/dedicator/dedications./media common/dedication/work dedicated	work dedicated
/base/onephylogeny/type of thing/things of this type	things of this type
/food/ingredient/dishes	dishes
/base/fight/crime type/included in crimes	included in crimes
/fictional universe/character rank/characters of this rank	characters of this rank
/projects/project participant/projects./projects/project participation/role	role
/base/crime/crime/victim s	victim s
/aviation/aircraft type/aircraft of this type	aircraft of this type
/sports/drafted athlete/drafted./sports/sports league draft pick/draft	draft
/base/activism/activism issue/activist organizations	activist organizations
/biology/breed group/breeds in this group./biology/breed registration/breed	breed
/award/recurring competition/individual competitions	individual competitions
/award/competition/instance of recurring competition	instance of recurring competition
/book/author/series written or contributed to	series written or contributed to
/sports/pro athlete/teams./american football/football roster position/team	team
/visual art/artwork/art subject	art subject
/base/schemastaging/fish/found in	found in
/media common/dedicated work/dedication./media common/dedication/dedicated by	dedicated by
/geography/island group/islands in group	islands in group
/base/collectives/collective member/member of./base/collectives/collective membership/collective	collective
/base/endorsements/endorsing newspaper/endorsements./base/endorsements/newspaper endorsement/endorsee	endorsee
/government/governmental body/body this is a component of	body this is a component of
/base/thoroughbredracing/thoroughbred racehorse/country	country
/royalty/royal line/monarchs from this line	monarchs from this line
/biology/organism/sex	sex
/base/activism/organization/area of activism	area of activism
/comic books/comic book fictional universe/characters primarily appearing in this universe	characters primarily appearing in this universe
/tv/tv subject/tv programs	tv programs
/book/magazine genre/magazines in this genre	magazines in this genre
/fictional universe/fictional character/romantically involved with./fictional universe/romantic involvement/partner	partner
/user/szaijan/fantasy football/position/player	player
/medicine/drug ingredient/more specific ingredient	more specific ingredient
/broadcast/radio station owner/radio stations	radio stations
/religion/place of worship/religion	religion
/aviation/airline/focus cities	focus cities
/sports/sport/related equipment	related equipment
/tv/tv producer/tv episodes produced./tv/tv producer episode credit/episode	episode
/broadcast/tv station/owner	owner
/biology/animal breed/registered with./biology/breed registration/registry	registry
/fictional universe/fictional character/siblings./fictional universe/sibling relationship of fictional characters/siblings	siblings
/medicine/type of infectious agent/diseases	diseases
/base/contractbridge/bridge player/first place finish./base/contractbridge/bridge tournament standings/tournament	tournament
/sports/sports facility/teams	teams
/user/radiusrs/default domain/astrology/related topics	related topics
/comic books/comic book publisher/comic book series published	comic book series published
/education/fraternity sorority/founded location	founded location
/american football/football player/passing./american football/player passing statistics/team	team
/dining/restaurant/cuisine	cuisine
/architecture/structure/address./location/mailing address/state province region	state province region
/military/armed force/military posts./military/military post use/military post	military post
/american football/football team/current roster./sports/sports team roster/player	player
/sports/sport country/athletic performances./sports/competitor competition relationship/competitors	competitors
/spaceflight/space agency/astronauts	astronauts
/sports/sports official/sport	sport
/education/fraternity sorority/colors	colors
/theater/play/genre	genre
/transportation/bridge/locale	locale
/geography/lake/lake type	lake type
/fictional universe/fictional character/appears in these fictional universes	appears in these fictional universes
/tv/tv series episode/producers./tv/tv producer episode credit/producer	producer
/religion/religious organization/leaders./religion/religious organization leadership/leader	leader
/american football/football player/receiving./american football/player receiving statistics/team	team
/interests/collection category/sub categories	sub categories
/medicine/drug/drug class	drug class
/baseball/baseball player/lifetime batting statistics./baseball/lifetime batting statistics/ending season	ending season
/base/onephylogeny/type of thing/included in	included in
/tv/tv program/seasons	seasons
/base/patronage/patron/related client./base/patronage/patron client relationship/client	client
/cvg/cvg designer/games designed	games designed
/internet/website/owner new./internet/website ownership/owner	owner
/education/school mascot/school	school
/base/argumentmaps/innovator/original ideas	original ideas
/protected sites/iucn category/protected areas	protected areas
/food/ingredient/cuisine	cuisine
/broadcast/content/location	location
/book/periodical/subjects	subjects
/user/tsegaran/computer/algorithm family/algorithm	algorithm
/sports/sports league draft/picks./sports/sports league draft pick/player	player
/visual art/visual art genre/artworks	artworks
/religion/religious leader/religious leadership./religion/religious organization leadership/organization	organization
/royalty/noble person/titles./royalty/noble title tenure/noble title	noble title
/tv/tv series episode/writer	writer
/ice hockey/hockey player/current team./ice hockey/hockey roster position/team	team
/education/academic institution/visiting scholars fellows etc./education/academic post/person	person
/interests/collection category/parent category	parent category
/metropolitan transit/transit system/area served	area served
/common/topic/webpage./common/webpage/topic	topic
/broadcast/distributor/distributes	distributes
/education/school district/locations served	locations served
/business/asset/owners./business/asset ownership/owner	owner
/common/topic/subject of	subject of
/medicine/condition prevention factors/conditions this may prevent	conditions this may prevent
/ice hockey/hockey team/current roster./sports/sports team roster/player	player
/american football/football coach/coaching history./american football/football historical coach position/team	team
/computer/software/languages used	languages used
/government/election/office	office
/astronomy/star system/planetary system	planetary system
/user/robert/us congress/congressional district/state	state
/sports/sport/officials	officials
/sports/sports team/roster./ice hockey/hockey previous roster position/player	player
/computer/programming language/dialects	dialects
/protected sites/protected site/iucn category	iucn category
/business/asset owner/assets owned./business/asset ownership/owned asset	owned asset
/sports/sports equipment/sport used for	sport used for
/exhibitions/exhibition sponsor/exhibitions sponsored./exhibitions/exhibition run/venue	venue
/book/newspaper/headquarters./location/mailing address/citytown	citytown
/fictional universe/fictional character/rank	rank
/royalty/noble title/used in./royalty/system title relationship/system	system
/biology/organism classification/lower classifications	lower classifications
/baseball/baseball team/current roster./sports/sports team roster/player	player
/base/thoroughbredracing/thoroughbred racehorse color/horses of this color	horses of this color
/user/robert/us congress/us representative/state	state
/base/patronage/client/related patron./base/patronage/patron client relationship/patron	patron
/education/school/school district	school district
/base/usnationalparks/us national park/state	state
/travel/travel destination/local transportation	local transportation
/common/resource/annotations./common/webpage/topic	topic
/comic books/comic book series/publisher	publisher
/fictional universe/ethnicity in fiction/characters of this ethnicity	characters of this ethnicity
/cvg/computer videogame/designers	designers
/business/board member/organization board memberships./organization/organization board membership/role	role
/common/topic/subjects	subjects
/sports/pro athlete/teams./ice hockey/hockey roster position/position	position
/protected sites/governing body of protected sites/protected sites governed	protected sites governed
/location/location/street address./location/mailing address/state province region	state province region
/sports/sports position/players./baseball/baseball roster position/player	player
/base/folklore/mythical creature/mythology	mythology
/base/ecology/food web member/belongs to ecosystem s	belongs to ecosystem s
/base/petbreeds/dog breed/color	color
/music/conducted ensemble/conductors./music/conducting tenure/conductor	conductor
/music/conductor/groups./music/conducting tenure/ensemble	ensemble
/transportation/road/end1./transportation/road starting point/location	location
/people/appointee/position./people/appointment/appointed by	appointed by
/cvg/game voice actor/computer game voice performances./cvg/game performance/game	game
/cvg/game series/games in series	games in series
/base/argumentmaps/original idea/innovator	innovator
/theater/theater actor/theater roles./theater/theater role/role	role
/people/appointer/appointment made./people/appointment/appointee	appointee
/aviation/aircraft model/aircraft type	aircraft type
/cvg/computer videogame/prequel	prequel
/film/film character/portrayed in films dubbed./film/dubbing performance/actor	actor
/ice hockey/hockey team/current roster./ice hockey/hockey roster position/player	player
/travel/travel destination/how to get here./travel/transportation/transport terminus	transport terminus
/architecture/structure/construction cost./measurement unit/money value/currency	currency
/aviation/aircraft manufacturer/aircraft models made	aircraft models made
/ice hockey/hockey player/current team./ice hockey/hockey roster position/position	position
/ice hockey/hockey player/hockey position	hockey position
/american football/football player/current team./american football/football roster position/position	position
/architecture/architectural structure owner/structures owned./architecture/ownership/structure	structure
/book/periodical publisher/periodicals published./book/periodical publisher period/periodical	periodical
/book/newspaper owner/newspapers owned	newspapers owned
/cvg/computer videogame/characters./cvg/game performance/voice actor	voice actor
/american football/football player/current team./american football/football roster position/team	team
/american football/football team/current roster./american football/football roster position/player	player
/base/wrestling/professional wrestler/member of team	member of team
/comic books/comic book series/created by	created by
/visual art/artwork/art form	art form
/american football/football player/receiving./american football/player receiving statistics/season	season
/theater/theatrical lyricist/play lyrics written	play lyrics written
/visual art/artwork/art genre	art genre
/architecture/architect/structures designed	structures designed
/base/folklore/mythology/mythical creatures	mythical creatures
/base/petbreeds/dog coat color/dog breeds	dog breeds
/base/infrastructure/power plant type/power station	power station
/base/petbreeds/dog breed group/dog breeds	dog breeds
/common/webpage/topic	topic
/language/human language/dialects	dialects
/award/award/presented by	presented by
/exhibitions/exhibition venue/exhibitions at this venue./exhibitions/exhibition run/sponsor	sponsor
/book/periodical/publisher./book/periodical publisher period/publisher	publisher
/transportation/bridge type/bridges of this type	bridges of this type
/base/disaster2/tactic/attacks of this form./base/disaster2/attack process/attack event	attack event
/book/newspaper/headquarters./location/mailing address/state province region	state province region
/book/written work/original language	original language
/law/court/judges./law/judicial tenure/judge	judge
/architecture/structure/owner./architecture/ownership/owner	owner
/people/appointed role/appointment./people/appointment/appointee	appointee
/book/literary series/author s	author s
/biology/organism/organism type	organism type
/music/album release type/albums	albums
/american football/football team/historical coaching staff./american football/football historical coach position/coach	coach
/sports/sports team/arena stadium	arena stadium
/fictional universe/fictional character/parents	parents
/aviation/airliner accident/flight destination	flight destination
/comic books/comic book series/featured characters	featured characters
/law/judge/courts./law/judicial tenure/court	court
/computer/programming language/parent language	parent language
/royalty/system of nobility/titles./royalty/system title relationship/title	title
/cvg/game voice actor/computer game voice performances./cvg/game performance/character	character
/medicine/symptom/side effect of	side effect of
/computer/programming language/language designers	language designers
/cvg/game character/games./cvg/game performance/voice actor	voice actor
/american football/football coach/coaching history./american football/football historical coach position/position	position
/book/newspaper/owner	owner
/medicine/drug class/drugs	drugs
/sports/multi event tournament/sports	sports
